,id,news_source,rating,rating_num,type,agree,disagree,perc_agree,url,editorial_review,blind_survey,third_party_analysis,independent_research,confidence_level,twitter,wiki,facebook,screen_name,url_name,clean_url
0,53,Breitbart News,right,5.0,News Media,17019,8114,0.67715752198305,https://www.allsides.com/news-source/breitbart,0,1,0,1,High,https://twitter.com/BreitbartNews,https://en.wikipedia.org/wiki/Breitbart_News,https://www.facebook.com/Breitbart/,BreitbartNews,breitbart,breitbart.com
1,69,CBS News,left-center,2.0,News Media,6905,5391,0.561564736499675,https://www.allsides.com/news-source/cbs-news-media-bias,0,1,0,1,Low or Initial Rating,https://twitter.com/@CBSNews,https://en.wikipedia.org/wiki/CBS_News,https://www.facebook.com/CBSNews/,CBSNews,cbs-news,cbs.com
2,96,CNN (Web News),left-center,2.0,News Media,27746,28952,0.489364704222371,https://www.allsides.com/news-source/cnn-media-bias,1,1,1,1,High,https://twitter.com/@CNN,https://en.wikipedia.org/wiki/CNN,https://facebook.com/cnn,CNN,cnn,cnn.com
3,97,CNN - Editorial,left,1.0,News Media,8433,2395,0.778814185445142,https://www.allsides.com/news-source/cnn-editorial,1,0,0,1,Medium,https://twitter.com/@CNN,https://en.wikipedia.org/wiki/CNN,https://facebook.com/cnn,CNN,cnn-editorial,cnn.com
4,112,Daily Beast,left,1.0,News Media,7713,4241,0.645223356198762,https://www.allsides.com/news-source/daily-beast-media-bias,1,1,0,0,,https://twitter.com/@thedailybeast,https://en.wikipedia.org/wiki/The_Daily_Beast,https://www.facebook.com/thedailybeast/,thedailybeast,daily-beast,thedailybeast.com
5,117,Daily Press,right-center,4.0,News Media,287,385,0.427083333333333,https://www.allsides.com/news-source/daily-press,0,0,0,1,Low or Initial Rating,https://twitter.com/Daily_Press,https://en.wikipedia.org/wiki/Daily_Press_(Virginia),https://www.facebook.com/dailypressnews/,Daily_Press,daily-press,dailypress.com
6,131,Democracy Now,left,1.0,News Media,5405,1833,0.746753246753247,https://www.allsides.com/news-source/democracy-now,0,0,0,1,Low or Initial Rating,https://twitter.com/DemocracyNow,https://en.wikipedia.org/wiki/Democracy_Now!,https://www.facebook.com/democracynow,DemocracyNow,democracy-now,democracynow.org
7,170,Fox Online News,right-center,4.0,News Media,22692,32082,0.414284149413956,https://www.allsides.com/news-source/fox-news-media-bias,1,1,0,1,High,https://twitter.com/FoxNews,https://en.wikipedia.org/wiki/Fox_News,https://www.facebook.com/FoxNews/,FoxNews,fox-news,foxnews.com
8,199,HotAir,right-center,4.0,News Media,941,840,0.52835485682201,https://www.allsides.com/news-source/hotair,0,0,0,1,Low or Initial Rating,https://twitter.com/hotairblog,https://en.wikipedia.org/wiki/Hot_Air,https://facebook.com/hotaircom,hotairblog,hotair,hotair.com
9,231,Jezebel,left,1.0,News Media,63,21,0.75,https://www.allsides.com/news-source/jezebel-media-bias,0,0,0,1,Low or Initial Rating,,,,,jezebel,jezebel.com
