"id","news_source","rating","rating_num","type","agree","disagree","perc_agree","url","editorial_review","blind_survey","third_party_analysis","independent_research","confidence_level","twitter","wiki","facebook","screen_name"
"1","AARP","center",3,"Think Tank / Policy Group",1404,2343,0.374699759807846,"https://www.allsides.com/news-source/aarp-media-bias","0",0,0,0,NA,"https://twitter.com/AARP","https://en.wikipedia.org/wiki/AARP",NA,"AARP"
"2","ABC News","left-center",2,"News Media",13793,9409,0.594474614257392,"https://www.allsides.com/news-source/abc-news-media-bias","0",1,1,1,"High","https://twitter.com/ABC","https://en.wikipedia.org/wiki/ABC_News","https://www.facebook.com/ABCNews/","ABC"
"3","Abridge News","allsides",NA,"News Media",31,17,0.645833333333333,"https://www.allsides.com/news-source/abridge-news-media-bias","0",0,0,1,"High","https://twitter.com/Abridge_News",NA,"https://www.facebook.com/AbridgeNews","Abridge_News"
"4","Accuracy in Media","right",5,"Think Tank / Policy Group",743,444,0.625947767481045,"https://www.allsides.com/news-source/accuracy-media","0",0,0,1,"Medium",NA,"https://en.wikipedia.org/wiki/Accuracy_in_Media",NA,NA
"5","ACLU","left-center",2,"Think Tank / Policy Group",1272,1697,0.428427079824857,"https://www.allsides.com/news-source/american-civil-liberties-union","0",0,0,0,NA,"https://twitter.com/@ACLU","https://en.wikipedia.org/wiki/American_Civil_Liberties_Union","https://www.facebook.com/aclu/","ACLU"
"6","AJ+","left",1,"News Media",13,5,0.722222222222222,"https://www.allsides.com/news-source/aj-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"7","Al Cardenas","right",5,"Author",353,238,0.597292724196278,"https://www.allsides.com/news-source/al-cardenas","0",0,0,0,NA,NA,NA,NA,NA
"8","Al Jazeera","left-center",2,"News Media",3707,6138,0.376536312849162,"https://www.allsides.com/news-source/al-jazeera-america","0",0,1,1,"Low or Initial Rating","https://twitter.com/@AJEnglish","https://en.wikipedia.org/wiki/Al_Jazeera","https://www.facebook.com/aljazeera/ 
","AJEnglish"
"9","AllSides","allsides",NA,"News Media",3301,1308,0.7162074202647,"https://www.allsides.com/news-source/allsides-0","0",0,0,0,"High",NA,NA,NA,NA
"10","AllSides Community","allsides",NA,"News Media",2142,1273,0.627232796486091,"https://www.allsides.com/news-source/allsides-community","0",0,0,0,"High",NA,NA,NA,NA
"11","Allysia Finley (Wall Street Journal)","right",5,"Author",410,474,0.463800904977376,"https://www.allsides.com/news-source/allysia-finley","checked",0,0,0,NA,NA,NA,NA,NA
"12","AlterNet","left",1,"News Media",3357,862,0.795686181559611,"https://www.allsides.com/news-source/alternet-media-bias","0",0,0,1,"High","https://twitter.com/AlterNet","https://en.wikipedia.org/wiki/AlterNet","https://www.facebook.com/AlterNetNews","AlterNet"
"13","American Conservative Union","right",5,"Think Tank / Policy Group",608,336,0.644067796610169,"https://www.allsides.com/news-source/american-conservative-union","0",0,0,0,NA,NA,NA,NA,NA
"14","American Enterprise Institute","right-center",4,"Think Tank / Policy Group",1526,788,0.659464131374244,"https://www.allsides.com/news-source/american-enterprise-institute","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"15","American Greatness","right",5,"News Media",44,9,0.830188679245283,"https://www.allsides.com/news-source/american-greatness-media-bias","0",0,0,1,"Low or Initial Rating","https://twitter.com/theamgreatness",NA,"https://www.facebook.com/theamericangreatness/","theamgreatness"
"16","American Spectator","right",5,"News Media",7031,2838,0.712432870604925,"https://www.allsides.com/news-source/american-spectator","0",0,0,1,"Medium","https://twitter.com/AmSpec?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://en.wikipedia.org/wiki/The_American_Spectator","https://www.facebook.com/amspec/","AmSpec"
"17","American Thinker","right",5,"News Media",1368,754,0.644674835061263,"https://www.allsides.com/news-source/american-thinker","0",0,0,0,"Medium","https://twitter.com/AmericanThinker","https://en.wikipedia.org/wiki/American_Thinker","https://www.facebook.com/AmericanThinker/","AmericanThinker"
"18","Americans for Democratic Action","left",1,"Think Tank / Policy Group",491,216,0.694483734087694,"https://www.allsides.com/news-source/americans-democratic-action","0",0,0,0,NA,NA,NA,NA,NA
"19","Americans for Tax Reform","right",5,"Think Tank / Policy Group",523,376,0.581757508342603,"https://www.allsides.com/news-source/americans-tax-reform","0",0,0,0,NA,NA,NA,NA,NA
"20","Andrew Napolitano","right",5,"Author",621,503,0.552491103202847,"https://www.allsides.com/news-source/andrew-napolitano","0",0,0,0,NA,NA,NA,NA,NA
"21","Andrew Sullivan","right-center",4,"Author",37,37,0.5,"https://www.allsides.com/news-source/andrew-sullivan-media-bias","0",0,0,1,NA,NA,NA,NA,NA
"22","Andy Ngo","center",3,"Author",88,77,0.533333333333333,"https://www.allsides.com/news-source/andy-ngo-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"23","Ann Coulter","right",5,"Author",1141,277,0.804654442877292,"https://www.allsides.com/news-source/ann-coulter","0",0,0,1,"Medium",NA,NA,NA,NA
"24","Annafi Wahed","left-center",2,"Author",221,212,0.510392609699769,"https://www.allsides.com/news-source/annafi-wahed-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"25","AP","center",3,"Author",868,704,0.552162849872774,"https://www.allsides.com/news-source/ap","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"26","Aquinas College Saint","left",1,"News Media",769,476,0.617670682730924,"https://www.allsides.com/news-source/aquinas-college-saint","0",0,0,0,NA,NA,NA,NA,NA
"27","Arkadi Gerney","left-center",2,"Author",193,167,0.536111111111111,"https://www.allsides.com/news-source/arkadi-gerney","checked",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"28","Arkansas Democrat-Gazette","left",1,"News Media",818,619,0.569241475295755,"https://www.allsides.com/news-source/arkansas-democrat-gazette","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"29","Associated Press","center",3,"News Media",8112,5817,0.582382080551368,"https://www.allsides.com/news-source/associated-press-media-bias","1",0,0,0,"Medium","https://twitter.com/@johnleicester?ref_src=twsrc%5Etfw","https://en.wikipedia.org/wiki/Associated_Press","https://www.facebook.com/APNews/","johnleicester"
"30","Association for Psychological Science","center",3,"Think Tank / Policy Group",652,526,0.553480475382003,"https://www.allsides.com/news-source/association-psychological-science","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"31","Atlanta Journal-Constitution","left-center",2,"News Media",749,690,0.520500347463516,"https://www.allsides.com/news-source/atlanta-journal-constitution","0",0,0,0,"Low or Initial Rating","https://twitter.com/ajc","https://en.wikipedia.org/wiki/The_Atlanta_Journal-Constitution","https://www.facebook.com/ajc/","ajc"
"32","Atlas Network","right",5,"Think Tank / Policy Group",267,178,0.6,"https://www.allsides.com/news-source/atlas-network","0",0,0,1,"Medium",NA,NA,NA,NA
"33","AtlasOne","right-center",4,"Think Tank / Policy Group",208,241,0.463251670378619,"https://www.allsides.com/news-source/atlasone","0",0,0,1,"Medium",NA,NA,NA,NA
"34","Austin American-Statesman","left-center",2,"News Media",659,498,0.569576490924806,"https://www.allsides.com/news-source/austin-american-statesman","0",0,0,1,"Low or Initial Rating","https://twitter.com/statesman","https://en.wikipedia.org/wiki/Austin_American-Statesman","https://www.facebook.com/statesman","statesman"
"35","Axios","center",3,"News Media",1356,1565,0.464224580623074,"https://www.allsides.com/news-source/axios","0",1,0,1,"Low or Initial Rating","https://twitter.com/@axios","https://en.wikipedia.org/wiki/Axios_(website)","https://www.facebook.com/axiosnews/","axios"
"36","AZ Central","center",3,"News Media",9,25,0.264705882352941,"https://www.allsides.com/news-source/az-central-media-bias","0",0,0,0,NA,"https://twitter.com/azcentral","https://en.wikipedia.org/wiki/The_Arizona_Republic","https://www.facebook.com/azcentral/","azcentral"
