title;author;published_date;published_date_precision;link;clean_url;excerpt;summary;rights;rank;topic;country;language;authors;media;is_opinion;twitter_account;_score;_id
Rep. Pryor explains voting against Housing Task Force's final report;Jack Sells;2022-11-01 00:45:00;timezone unknown;https://www.thestatehousefile.com/politics/rep-pryor-explains-voting-against-housing-task-forces-final-report/article_7ac0d710-595d-11ed-9126-2be878c665be.html;thestatehousefile.com;INDIANAPOLIS—After being one of just two members on the Housing Task Force to vote against the group's final report Thursday, Rep. Cherrish Pryor, D-Indianapolis, explained her reasoning in a press;Rep. Cherrish Pryor, D-Indianapolis. Photo provided. Jack Sells is a reporter for TheStatehouseFile.com, a news website powered by Franklin College journalism students.;thestatehousefile.com;408038;politics;US;en;Jack Sells,TheStatehouseFile.com;https://bloximages.newyork1.vip.townnews.com/thestatehousefile.com/content/tncms/assets/v3/editorial/6/d4/6d42da04-fd76-11ec-b21a-b3109a310cc9/62c605b7d569d.image.jpg?crop=1200%2C630%2C0%2C435&resize=1200%2C630&order=crop%2Cresize;False;@https://twitter.com/StatehouseFile;;ac8678c57872a02e5003a4ba7e60a129
Event offers help with that dreaded college hurdle: the financial aid application;Sydney Byerly;2022-11-01 00:45:00;timezone unknown;https://www.thestatehousefile.com/politics/event-offers-help-with-that-dreaded-college-hurdle-the-financial-aid-application/article_5314da14-5957-11ed-9b9c-efb8fda29127.html;thestatehousefile.com;Squinting while sitting at the kitchen counter, staring at the tiny text covering the laptop screen, students around the country try to decipher what tax and income information they'll have;A screenshot of what this year's Free Application for Federal Student Aid looks like.  Screenshot by Sydney Byerly, TheStatehouseFile.com. Sydney Byerly is a reporter at TheStatehouseFile.com, a news website powered by Franklin College journalism students.;thestatehousefile.com;408038;politics;US;en;Screenshot Sydney Byerly,Sydney Byerly,TheStatehouseFile.com;https://bloximages.newyork1.vip.townnews.com/thestatehousefile.com/content/tncms/assets/v3/editorial/3/8e/38e24f5e-5958-11ed-981b-a7f7ee37641a/63602c7752deb.image.png?crop=1873%2C983%2C0%2C61&resize=1200%2C630&order=crop%2Cresize;False;@https://twitter.com/StatehouseFile;;26d84438fb804b63394a98d8c7191f39
What are the local questions on my South Carolina ballot?;Rachel Ripp;2022-11-01 00:45:00;timezone unknown;https://www.wltx.com/article/news/politics/county-ballot-questions-south-carolina/101-212502c2-b97e-47f4-a2fa-e9464372fddb;wltx.com;Voters will decided on penny taxes, new forms of county government, and school board bond referendums.;LEXINGTON, S.C. — Across the Midlands, there are plenty of county-specific ballot items voters need to be familiar with. This includes penny taxes, new forms of county government, and school board bond referendums--- all topics voters in the Midlands are deciding on and will be deciding on come Election Day. If you live in Saluda, you'll be voting for or against a new tax funding a $49M bond referendum that would add an elementary school and upgrade other schools. There's also an option to change your county government from council and director to council and administrator.;wltx.com;13292;politics;US;en;Rachel Ripp;https://media.wltx.com/assets/WLTX/images/b3456c61-2ae4-45ee-8f33-faa31d178ff3/b3456c61-2ae4-45ee-8f33-faa31d178ff3_1140x641.jpg;False;wltx;;8edf43ddfbbdf4abb7602d9ec24d97e1
Congressman Jim Jordan visits Delphos to discuss issues facing businesses and area workers;Nathan Kitchens;2022-11-01 00:30:00;timezone unknown;https://www.hometownstations.com/news/congressman-jim-jordan-visits-delphos-to-discuss-issues-facing-businesses-and-area-workers/article_7acdde1c-5942-11ed-8e1e-174289834ab1.html;hometownstations.com;One of two stops in the area for Congressman Jim Jordan included Westrich Furniture in Delphos. Jordan says hearing personally from families and businesses within his district is key when;Copyright 2022 by Lima Communications Corporation. All rights reserved.;hometownstations.com;74200;politics;US;en;Joseph Sharpe,Nathan Kitchens;https://bloximages.newyork1.vip.townnews.com/hometownstations.com/content/tncms/assets/v3/editorial/6/30/630d74f9-1817-50e3-a819-8cab2a64ba24/63603b04884f8.image.jpg?crop=1280%2C672%2C0%2C23&resize=1200%2C630&order=crop%2Cresize;False;@LimaYNN;;b4620baed0700b7fb51bca70194fdb26
‘Massive Advantages Over Democrats': NBC Data Guru Reveals Why Dems Could Face November Blowout;Harold Hutchison;2022-11-01 00:29:48;full;https://dailycaller.com/2022/10/31/kornacki-midterms-issues-republicans/;dailycaller.com;'Republicans have the advantage';;conservativereview.com;2089;politics;US;en;Harold Hutchison;https://www.conservativereview.com/media-library/eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpbWFnZSI6Imh0dHBzOi8vY2RuMDEuZGFpbHljYWxsZXIuY29tL3dwLWNvbnRlbnQvdXBsb2Fkcy8yMDIyLzEwL0RDTkYtS29ybmFja2ktTWlkdGVybS1Qb2xsaW5nLUZlYXR1cmVkLnBuZyIsImV4cGlyZXNfYXQiOjE2NjgyNTIwMTR9.ECWTdVs8V3GZch9OHS06yiCQDUfnJBJogkFvAoZLn2c/image.png?width=2000&height=2000;False;@;;a14790cfddadbb77471ed39ad827a449
Where's Joe? Biden Avoids Battleground States With One Week to Go Before Midterms;Bob Hoge;2022-11-01 00:15:25;full;https://redstate.com/bobhoge/2022/10/31/wheres-joe-biden-avoids-battleground-states-with-one-week-to-go-before-midterms-n652192;redstate.com;Not even Obama can save the Democrats now.;You'd think that a sitting president would visit key states before a midterm election, but deeply unpopular Joe Biden is avoiding battleground states like Georgia, Arizona, and Nevada even as he claims this election is 'one of the most important… in our lifetime.' Key congressional and gubernatorial races will be decided on election day, November 8, but Biden is staying away, according to the Wall Street Journal: Of the 14 states with some of the most competitive Senate and governor races, based on ratings from the Cook Political Report, Mr.;redstate.com;5189;politics;US;en;Bob Hoge,Pj Media;https://media.townhall.com/townhall/reu/o/2022/304/7844b2d2-420e-45c2-992f-c9bc53a455fe-1110x740.png;False;@RedState;;e69d4ce112b10856988b35cb85863b90
Bidens dole out Halloween candy to first responders' kids;Darlene Superville;2022-11-01 00:15:00;timezone unknown;https://www.whig.com/ap/politics/bidens-dole-out-halloween-candy-to-first-responders-kids/article_67038c6c-35e5-57f0-aeda-4ca6dd349f3a.html;whig.com;President Joe Biden and his wife, Jill, have doled out Halloween candy to trick-or-treaters dressed up as everything from Spider-Man to a flamingo to a monk to a zombie founding;"Country

United States of America US Virgin Islands United States Minor Outlying Islands Canada Mexico, United Mexican States Bahamas, Commonwealth of the Cuba, Republic of Dominican Republic Haiti, Republic of Jamaica Afghanistan Albania, People's Socialist Republic of Algeria, People's Democratic Republic of American Samoa Andorra, Principality of Angola, Republic of Anguilla Antarctica (the territory South of 60 deg S) Antigua and Barbuda Argentina, Argentine Republic Armenia Aruba Australia,";whig.com;42249;politics;US;en;Alex Brandon,Andrew Harnik,Associated Press,DARLENE SUPERVILLE,Manuel Balce Ceneta;https://bloximages.newyork1.vip.townnews.com/whig.com/content/tncms/assets/v3/editorial/c/e4/ce4722ff-463b-5e64-88f3-3324d9ca2961/635ff5c39a292.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize;False;@WhigNews;;7e8af9ed77d6aa832eec425f0cb5cd69
Oath Keepers member: Capitol riot was historic, spontaneous;Michael Kunzelman;2022-11-01 00:15:00;timezone unknown;https://www.wvnews.com/jacksonnewsnewsfeed/politics/oath-keepers-member-capitol-riot-was-historic-spontaneous/article_16736498-f199-5cd1-b6a9-1382690e7edd.html;wvnews.com;A Florida man who stormed the U.S. Capitol with other members of the far-right Oath Keepers has testified that he believed they were participating in a historic event reminiscent of;"Country

United States of America US Virgin Islands United States Minor Outlying Islands Canada Mexico, United Mexican States Bahamas, Commonwealth of the Cuba, Republic of Dominican Republic Haiti, Republic of Jamaica Afghanistan Albania, People's Socialist Republic of Algeria, People's Democratic Republic of American Samoa Andorra, Principality of Angola, Republic of Anguilla Antarctica (the territory South of 60 deg S) Antigua and Barbuda Argentina, Argentine Republic Armenia Aruba Australia,";wvnews.com;16178;politics;US;en;Associated Press,MICHAEL KUNZELMAN,Manuel Balce Ceneta,Susan Walsh;https://bloximages.chicago2.vip.townnews.com/wvnews.com/content/tncms/assets/v3/editorial/b/5f/b5f964ef-3864-5904-bad4-86e986b62bdf/636023327d1e9.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize;False;@WVNews247;;d54067f937a091d277fcc20e6f9e476f
Election preview 2022: candidates and propositions on this year's ballot;Alek Lewis;2022-11-01 00:15:00;timezone unknown;https://riverheadlocal.com/2022/10/31/election-preview-2022-candidates-and-propositions-on-this-years-ballot;riverheadlocal.com;Here's a rundown of candidates and propositions on the ballot in this year's General Election, with sample ballots.;"This year's general election will decide control of the New York statehouse, as incumbent Kathy Hochul, the first woman ever to hold the office of governor of New York, battles First District Congressman Lee Zeldin in what is shaping up to be the closest gubernatorial contest the state has seen in a generation.

The election will also decide control of the U.S. Congress, which the Democratic Party holds by slim majorities in both the House of Representatives and the Senate. It is also the first election after reapportionment, the decennial process conducted after the census to draw new election districts.";riverheadlocal.com;104839;politics;US;en;A Graduate,Alek Lewis,Alek Riverheadlocal.Com,Denise Civiletti,He Served As News Editor,Journalism. Previously,The Statesman,Was A Member;https://riverheadlocal.com/wp-content/uploads/2022/10/2022_1031_VOTE-graphic.jpg;False;;;2e0e387733ddaf3cb816941f92df790e
Biden administration targets gig economy while midterm elections grab headlines;Haisten Willis;2022-11-01 00:15:00;timezone unknown;https://www.washingtonexaminer.com/biden-administration-targets-gig-economy-while-midterm-elections-grab-headlines?utm_source=msn&utm_medium=referral&utm_campaign=msn_feed;washingtonexaminer.com;With the midterms dominating headlines across Washington D.C., the Biden administration has unveiled a proposed rule affecting who is considered an employee and who works independently, setting up a…;"© Provided by Washington Examiner President Joe Biden speaks during a visit to the Democratic National Committee Headquarters, Monday, Oct. 24, 2022, in Washington. (AP Photo/Evan Vucci)


Washington Examiner VideosOriginal Author: Haisten WillisOriginal Location: Biden administration targets gig economy while midterm elections grab headlines 
Continue Reading 
Show full articles without ""Continue Reading"" button for {0} hours.
 Microsoft and partners may be compensated if you purchase something through recommended links in this article.";msn.com;1488;politics;US;en;Haisten Willis;https://img-s-msn-com.akamaized.net/tenant/amp/entityid/AA13nc7W.img?h=315&w=600&m=6&q=60&o=t&l=f&f=jpg&x=349&y=46;False;;;e33ee12f8251c9aec88891d27cde43df
